Date,T.Max,T.Min,Rain
20240426,20.4,2.8,0
20240427,23.8,3.3,0
20240428,27,7.4,0
20240429,25.2,10.6,0
20240430,19.1,8.4,0
20240501,22.5,6.6,0
20240502,21.6,9.3,0
20240503,19.2,10.6,0
20240504,17.8,12.3,0.299999999999727
20240505,21.8,12.1,3.79999999999973
20240506,22.1,8.2,0
20240507,22.4,9.3,0
20240508,23,10.5,0
20240509,21.6,11.7,0
20240510,15.4,13.2,5.69999999999982
20240511,15.8,13.4,41
20240512,20.8,9,9.39999999999964
20240513,21.8,7.1,0
20240514,19.7,5.9,0
20240515,19.3,3.7,0
20240516,21.9,6,0
20240517,21.2,5.3,0
20240518,15.3,6.2,9.79999999999973
20240519,15,-1.4,0
20240520,16.5,5.6,0.599999999999909
20240521,19.2,2.4,0
20240522,18.5,2.2,0.0999999999999091
20240523,18,1.7,0
20240524,17.5,2.3,0
20240525,19.7,4.5,0
20240526,19.6,2.7,0
20240527,18,1.4,0
20240528,19.7,0.1,0
20240529,23.8,2.9,0
20240530,22.4,12,0
20240531,17.6,12.6,30.3999999999996
20240601,16.7,4.9,0.199999999999818
20240602,15.1,0.9,0
20240603,13,0.1,0
20240604,11.5,1.2,0.0999999999999091
20240605,13.6,3,0
20240606,16.4,6.2,2.09999999999991
20240607,18.6,5,0
20240608,16.2,3.3,0
20240609,15.9,4.4,0
20240610,16.3,7.2,3.59999999999991
20240611,15.4,6.4,0.199999999999818
20240612,15.2,7.7,0.199999999999818
20240613,9.3,-0.7,0
20240614,11,3.2,0
20240615,13.7,6,2.29999999999973
20240616,13.5,2,0.799999999999727
20240617,13.7,0.1,0
20240618,13.3,-1.3,0.0999999999999091
20240619,14,-3,0
20240620,14.1,2.8,0
20240621,12.4,2.6,2
20240622,14,-1.1,0.0999999999999091
20240623,15.9,-1.7,0.0999999999999091
20240624,16,-0.9,0
20240625,17.9,2.6,0
20240626,16.9,3.5,0
20240627,17,1.2,0
20240628,18.4,1.1,0
20240629,19,6.7,0
20240630,13,4.7,5.19999999999982
20240701,12.4,-2.2,0
20240702,15.5,-0.6,0
20240703,16,4.2,0
20240704,17.1,2.5,0
20240705,17.2,5.1,0
20240706,16.9,3.1,0
20240707,14,4.8,0
20240708,13.3,7.7,1.19999999999982
20240709,12.9,10.5,4.79999999999973
20240710,15.1,6.8,0.699999999999818
20240711,14.3,1.2,0
20240712,13,6.1,1.19999999999982
20240713,14.7,3.1,0.899999999999636
20240714,13.7,2.6,0.199999999999818
20240715,12.7,-1,0.299999999999727
20240716,12.5,2.9,2.69999999999982
20240717,13.6,6.8,3.5
20240718,13.3,3.7,0
20240719,13.9,4,0
20240720,13.4,8,0.299999999999727
20240721,15.6,2.6,0.0999999999999091
20240722,17.8,4.3,0
20240723,18.2,1.4,0.0999999999999091
20240724,17.1,2.4,0
20240725,16.8,7.8,0
20240726,16.8,1.1,2.29999999999973
20240727,18,1.3,0
20240728,12.6,0.6,2.09999999999991
20240729,13.6,-0.7,0.199999999999818
20240730,13.7,-1,0
20240731,16,-3.5,0
20240801,16.2,-0.8,0
20240802,17,0.9,0
20240803,18.1,0.8,0
20240804,15.4,2.5,0
20240805,11.9,6.7,0
20240806,14.4,2.3,1.5
20240807,16.7,-0.3,0
20240808,17.6,0.5,0
20240809,19,2.3,0
20240810,19.5,2.1,0
20240811,19.2,3,0
20240812,21.3,3.5,0
20240813,21.6,6,1.29999999999973
20240814,19.6,12.1,7.19999999999982
20240815,20.9,8.2,0.0999999999999091
20240816,17.1,7.5,0
20240817,15.3,5.9,1.09999999999991
20240818,15.4,8.3,7.5
20240819,19.1,3.4,0
20240820,19.8,6.5,0
20240821,17.8,5.7,0
20240822,19.8,7.6,0
20240823,22,3.4,0
20240824,25.6,12.3,0.399999999999636
20240825,20.8,14.5,0
20240826,17.8,5,7
20240827,21.1,4.9,1.29999999999973
20240828,21.4,9.8,0
20240829,18.6,3.5,0
20240830,25.2,9.2,0
20240831,20.4,6.7,0
20240901,23.2,4,0
20240902,17.5,11.2,0
20240903,17.8,1.1,0
20240904,23.2,1.5,0
20240905,29.7,11.6,0
20240906,30.6,15.4,0
20240907,21.5,12.5,1.5
20240908,21.2,6.8,0
20240909,20.4,3.7,0
20240910,21.8,3.6,0
20240911,24.6,6.5,0
20240912,19.1,10.1,1.5
20240913,20.3,3.2,0
20240914,18.9,1.2,0
20240915,16.2,1.2,0
20240916,17.5,-2.3,0
20240917,20.1,1.3,0
20240918,24.3,2.3,0
20240919,23.1,2.4,0
