"parameter","parameter_value","objective","convergence","message","mu","sigma","R_top","R_bottom","k"
"mu",0.05,0.474123386625683,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,8.33403137635746,0.299806172484793,0
"mu",0.64625,0.551302536365427,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.64625,2.5,1.45707902902907,0.1,0.00403101162862591
"mu",1.2425,0.885319374487866,1,"NEW_X",1.2425,2.5,2.24161969803867,29.9910907101339,0.0096415194235732
"sigma",2.14,0.492921384968372,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.14,7.29489495171937,0.434410126074698,0
"sigma",2.32,0.481049727556638,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.32,8.33144744127644,0.371088143059532,0
"sigma",2.5,0.474123386625683,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,8.33403137635746,0.299806172484793,0
"R_top",5.34903137635746,0.474123388428003,1,"NEW_X",0.0779117357302561,2.5,5.34903137635746,0.192414112905647,0
"R_top",6.84153137635746,0.474123393256523,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.0609224273101406,2.5,6.84153137635746,0.24608108228491,0
"R_top",8.33403137635746,0.474123386625683,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,8.33403137635746,0.299806172485141,0
"R_top",9.82653137635746,0.477054601300852,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,9.82653137635746,0.321385015577065,0
"R_top",11.3190313763575,0.484029245804195,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,11.3190313763575,0.342855837851989,1.00748711440338e-05
"R_bottom",0.1,0.474123386748467,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.149905782581102,2.5,2.77973383325588,0.1,0
"R_bottom",0.199903086242119,0.474123386930304,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.0749857734367729,2.5,5.55722833370463,0.199903086242119,0
"R_bottom",0.299806172484237,0.474123386625683,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,8.33403137816979,0.299806172484237,0
"R_bottom",2.54230617248424,0.643524392913744,1,"NEW_X",0.0504819497169564,2.49718589921541,15.0859525500635,2.54230617248424,0.0047184209484269
"R_bottom",4.78480617248424,0.685780131208679,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,20,4.78480617248424,0.00655884462523179
"k",0,0.474123386625683,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.05,2.5,8.33403137635746,0.299806172484793,0
"k",0.00375,0.516235339662982,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.0820064061774274,2.5,8.33050217992091,0.394758991419376,0.00375
"k",0.0075,0.626734429783089,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.121401903251072,2.5,8.31693329342645,0.647404695636352,0.0075
